Requests,REST_Response_Time,gRPC_Response_Time
1,10.01,0.0
11,11.21,119.89476363991854
21,14.41,152.22612188617114
31,19.61,171.6993602242573
41,26.81,185.67860333521537
51,36.010000000000005,196.59128163621628
61,47.21,205.54369320866556
71,60.410000000000004,213.13399385206577
81,75.61,219.72245773362192
91,92.81,225.5429753258425
101,112.01,230.756025842063
111,133.21,235.4765100656167
121,156.41,239.78952727983707
131,181.61,243.75986616005756
141,208.81,247.43799451890843
151,238.01,250.86399184074622
161,269.21,254.07021824922316
171,302.41,257.08317782513296
181,337.61,259.92485156329127
191,374.81,262.6136714023315
201,414.01,265.1652454029538
211,455.21000000000004,267.5929066738033
221,498.41,269.9081350758876
231,543.61,272.12088552608964
241,590.8100000000001,274.2398466745327
251,640.01,276.2726469565892
261,691.21,278.22602036613466
271,744.41,280.10594104398507
281,799.61,281.91773346668725
291,856.8100000000001,283.6661633585746
301,916.01,285.35551323744374
311,977.21,286.9896456089617
321,1040.41,288.57205615650076
331,1105.6100000000001,290.10591876885314
341,1172.81,291.59412386417586
351,1242.01,293.0393111732933
361,1313.21,294.443897916644
371,1386.41,295.8101031303718
381,1461.6100000000001,297.139968756335
391,1538.81,298.43537799926827
401,1618.01,299.6980713653285
411,1699.21,300.9296607248117
421,1782.41,302.1316416841191
431,1867.6100000000001,303.30540450518737
441,1954.81,304.4522437723423
451,2044.01,305.57336697513387
461,2135.21,306.6699021498324
471,2228.41,307.7429047008209
481,2323.61,308.793363505288
491,2420.81,309.82220638972603
501,2520.01,310.83030505424324
511,2621.21,311.8184795101852
521,2724.41,312.7875020876684
531,2829.61,313.7381010620969
541,2936.81,314.6709639423241
551,3046.01,315.5867404576457
561,3157.21,316.4860452761348
571,3270.41,317.3694604828005
581,3385.61,318.23753784259554
591,3502.81,319.09080087030486
601,3622.01,319.92974672676036
611,3743.21,320.7548479585797
621,3866.41,321.56655409667394
631,3991.61,322.3652931270606
641,4118.81,323.15147284603347
651,4248.01,323.92548211042845
661,4379.21,324.6876919925843
671,4512.41,325.43845684858405
681,4647.61,326.1781153074756
691,4784.81,326.9069911883835
701,4924.01,327.6253943517295
711,5065.21,328.33362149016205
721,5208.41,329.03195686424743
